Run,ER,Spn,Ct,index,alpha,ln.alpha,beta,Smsy,Smsy80p,Sgen,Umsy
1076,24.697345353203517,810.2565639995302,265.74343600046984,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1084,24.697345353203517,816.2807763712739,267.7192236287261,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1092,24.697345353203517,822.3049887430176,269.6950112569824,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1100,24.697345353203517,828.3292011147613,271.6707988852387,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1108,24.697345353203517,834.353413486505,273.6465865134949,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1116,24.697345353203517,840.3776258582487,275.62237414175127,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1124,24.697345353203517,846.4018382299924,277.59816177000755,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1132,24.697345353203517,852.4260506017362,279.5739493982638,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1140,24.697345353203517,858.4502629734799,281.54973702652006,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1148,24.697345353203517,864.4744753452236,283.5255246547764,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1156,24.697345353203517,870.4986877169674,285.50131228303263,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1164,24.697345353203517,876.5229000887111,287.4770999112889,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1172,24.697345353203517,882.5471124604549,289.4528875395452,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1180,24.697345353203517,888.5713248321986,291.4286751678015,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1188,24.697345353203517,894.5955372039423,293.40446279605777,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1196,24.697345353203517,900.619749575686,295.38025042431406,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1204,24.697345353203517,906.6439619474297,297.35603805257034,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1212,24.697345353203517,912.6681743191734,299.3318256808266,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1220,24.697345353203517,918.6923866909171,301.3076133090829,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1228,24.697345353203517,924.7165990626609,303.2834009373392,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1236,24.697345353203517,930.7408114344046,305.2591885655955,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1244,24.697345353203517,936.7650238061483,307.23497619385176,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1252,24.697345353203517,942.789236177892,309.210763822108,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1260,24.697345353203517,948.8134485496357,311.18655145036433,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1268,24.697345353203517,954.8376609213794,313.1623390786206,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1276,24.697345353203517,960.8618732931232,315.13812670687685,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1284,24.697345353203517,966.8860856648669,317.11391433513313,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1292,24.697345353203517,972.9102980366106,319.0897019633894,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1300,24.697345353203517,978.9345104083543,321.0654895916457,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1308,24.697345353203517,984.958722780098,323.041277219902,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1316,24.697345353203517,990.9829351518417,325.01706484815827,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1324,24.697345353203517,997.0071475235854,326.99285247641455,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1332,24.697345353203517,1003.0313598953292,328.96864010467084,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1340,24.697345353203517,1009.0555722670729,330.9444277329271,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1348,24.697345353203517,1015.0797846388166,332.9202153611834,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1357,24.697345353203517,1021.8570235570284,335.1429764429717,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1365,24.697345353203517,1027.881235928772,337.118764071228,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1373,24.697345353203517,1033.9054483005157,339.09455169948427,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1381,24.697345353203517,1039.9296606722594,341.0703393277406,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1389,24.697345353203517,1045.953873044003,343.0461269559969,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1397,24.697345353203517,1051.9780854157468,345.0219145842531,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1405,24.697345353203517,1058.0022977874905,346.9977022125094,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1413,24.697345353203517,1064.0265101592342,348.9734898407657,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1421,24.697345353203517,1070.050722530978,350.949277469022,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1429,24.697345353203517,1076.0749349027217,352.92506509727826,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1437,24.697345353203517,1082.0991472744654,354.90085272553455,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1445,24.697345353203517,1088.123359646209,356.8766403537908,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
